,hhid,_merge,check_dist,gt30
533,719111101,2020-11-23 08:12:30,2020-11-23 09:23:42,2020-11-23 08:18:00
534,62231104,uuid:ee12352a-0488-4d20-86d0-88cf837a1bf2,2020-12-06 02:12:27,2020-11-27 08:01:33
535,62677120,,,
536,62790112,,,
537,62236115,2020-12-05 05:46:40,2020-12-05 04:48:00,
538,62675112,,,
539,62785104,2020-12-19 07:37:00,,
540,62236101,,,
541,62236108,,,
542,11618117,,,1.0
543,62789110,,,
544,62227117,,,
545,7114158122,,,
546,62787128,,,
547,11618521,2020-12-18 01:08:22,2020-12-18 02:19:12,2020-12-18 01:13:00
548,62551110,,,
549,62560101,,,
550,62557116,2011201316,uuid:5afe06e0-b627-47b7-9ec1-6586fcf22415,2020-11-27 23:47:09
551,62554101,,,
552,62786115,,,
553,62557118,,,
554,7110119117,,,
555,62550104,,,
556,11618217,,,
557,7114150106,,,
558,7110116122,,,
559,62786105,,1.0,0.0
560,7114152118,,,
561,62229109,,,
562,62555119,,0.0,1.0
563,62678102,,,
564,62560124,,,
565,62237107,2011201316,uuid:8118c36e-b015-4977-9a35-d3f330484b1e,2020-12-06 01:44:35
566,62555120,,1.0,0.0
567,62230105,,,
568,7112134101,2020-12-17 06:04:51,2020-12-17 04:50:00,
569,7114152102,,,
570,62229104,,,
571,62790127,56.733333333333334,2011212223,uuid:9ae63d62-8707-4c98-ac2b-e034ab4fd86e
572,62677102,,,
573,7112131117,,,
574,62555104,,,
575,7114145123,2020-11-27 05:37:59,2020-11-27 04:36:00,
576,7114158115,,,
577,7112134125,,,
578,62232109,3845,3845,64.25
579,62237115,,,
580,62787103,uuid:8207fec1-d844-4716-9be6-98a39b2636e7,2020-11-26 15:01:21,2020-11-26 03:24:00
581,62237114,,,
582,62232111,,,
583,62228123,2011201316,uuid:45a3ccb7-f9b4-4bbb-95f5-0f863d90e81e,2020-12-21 02:00:14
584,62228114,2020-12-07 09:58:00,,
585,7114144116,2020-11-21 02:43:00,,
586,62232119,,,
587,62790114,,,
588,62229112,uuid:80b00ebb-bcfc-4171-8ed3-de27d34af4a9,2020-12-06 01:47:24,2020-12-04 04:49:27
589,7114158121,2008,2292,38.46666666666667
590,62230121,2020-12-21 03:38:32,2020-12-11 13:14:39,2020-12-11 14:15:00
591,62675105,,,
592,7114152117,,,
593,62234120,3198,3198,53.483333333333334
594,7114151116,Cooperative,Honest,Interested
595,62787110,,,
596,62236122,,,
597,7112136114,2020-12-16 10:19:00,,
598,7110116104,,,
599,62233108,2020-11-26 08:29:00,,
600,62675126,,,
601,7114144117,2020-12-01 06:46:27,2020-11-21 04:59:09,2020-11-21 06:05:28
602,62222127,2691,-2.3424916,28.446342
603,62224126,,,
604,62681104,,,
605,62792114,,,1.0
606,62225117,,,
607,62555122,2020-12-04 05:06:00,,
608,62560120,,,
609,62555109,,,
610,62228106,2020-12-07 05:21:20,2020-12-07 04:14:00,
611,62675104,,,
612,62230123,,,
613,62558101,,,
614,7112131101,1.0,0.0,0.0
615,11618106,2020-12-14 01:24:46,2020-12-14 03:22:23,2020-12-14 02:19:00
616,62227112,,,
617,7112132103,80.95,2011142115,uuid:dedfd5ec-fc05-4e48-8f92-6e19698ffea1
618,62787125,,,
619,62557111,,,
620,10709106,2020-12-09 03:50:00,,
621,719113109,,,
622,62783116,12:10:49,2849,2849
623,719111112,2020-11-23 06:56:12,2020-11-23 05:45:00,
624,62228112,,,
625,719110123,,,
626,62788112,2020-11-25 10:12:25,2020-11-25 11:23:44,2020-11-25 10:20:00
627,62236125,2020-12-05 10:11:11,2020-12-05 11:52:34,2020-12-05 10:41:00
628,62787113,,,
629,719108104,,,
630,11618503,2020-12-21 22:33:37,2020-12-18 01:16:10,2020-12-18 02:31:17
631,7114156109,49.46666666666667,2011142115,uuid:8a97acdf-0880-47cc-a062-1e1e5d9ecbe7
632,62785105,Honest,Interested,No
633,62227115,,,
634,62554109,2020-12-11 09:38:08,2020-12-07 03:47:10,2020-12-07 08:07:05
635,62224110,,,
636,7114152104,0.0,0.0,0.0
637,10709119,,,
638,62235102,,,
639,62226109,2020-12-15 02:00:46,2020-12-15 02:40:33,2020-12-15 02:07:00
640,7112131127,,,
641,62678120,2020-12-16 04:23:00,,
642,62224124,,,
643,7112132119,2020-12-15 04:26:55,2020-12-12 11:20:51,2020-12-12 12:49:38
644,62230118,2020-12-11 03:43:00,,
645,7110119107,,,
646,7112130116,,,
647,62233123,,,
648,62555124,2020-12-11 09:34:18,2020-12-04 06:27:58,2020-12-04 07:39:09
649,11618510,2020-12-17 11:18:09,2020-12-17 10:11:00,
650,7114156117,2819,2819,-8.304885
651,62786107,2020-11-27 05:14:00,,
652,62681123,,,
653,62784109,,,
654,62786125,,,
655,11618216,2020-12-16 07:45:20,2020-12-16 06:39:00,
656,62232124,,,
657,62550105,,,
658,7112136111,14:28:47,4425,4425
659,62787124,,1.0,0.0
660,62233124,,,
661,62237124,,,
662,7110117109,,,
663,62226126,1.0,0.0,0.0
664,10709124,,,
665,7110115109,-10.568662,27.554754,942.6
666,7110116114,2020-12-08 09:50:00,,
667,62785107,2020-12-19 04:05:50,2020-12-19 03:03:00,
668,62223103,2020-12-06 02:10:22,2020-11-25 04:12:07,2020-11-25 09:04:31
669,7110117102,,,
670,719107122,2020-11-30 07:47:38,2020-11-30 09:00:06,2020-11-30 07:55:00
671,62786101,61.81666666666667,2011212223,uuid:173b94db-a3fc-4047-9801-6b076ad4ecf0
672,62785118,,,
673,62554105,uuid:0a623d15-44c5-4fb0-a474-b2c18bfa4d30,2020-12-11 09:37:37,2020-12-07 03:28:00
674,7110119113,,,
675,62228118,,,
676,62222121,,,
677,11618120,,,
678,62227120,,,
679,62786102,,,
680,62234113,,,
681,7114145124,2020-11-27 10:32:23,2020-11-27 09:29:00,
682,7110115121,2020-12-09 06:32:06,2020-12-04 11:37:13,2020-12-04 12:47:21
683,62792121,,,
684,11618107,,,
685,719108125,2020-11-22 08:33:00,,
686,62236123,,,
687,62557119,,,
688,11618508,,,
689,11618215,2020-12-15 13:38:00,,
690,62681103,2020-12-19 04:02:00,,
691,62560116,44.55,2011201316,uuid:302bf0b5-62f0-4173-b221-eb71ed263726
692,10709116,,,
693,62556114,,,
694,7114156126,-8.305714,27.501015,1196.1
695,7110116113,2020-12-08 10:55:00,,
696,62231118,,,
697,62676118,,,
698,62555105,,1.0,0.0
699,7112134107,,,
700,7112135124,,,1.0
701,62227107,,,
702,62553121,,,
703,62226103,,,
704,719112121,,,
705,7114155113,2020-12-01 06:43:47,2020-11-29 05:55:42,2020-11-29 07:06:20
706,62237102,2020-12-06 01:44:56,2020-11-30 03:56:43,2020-11-30 05:17:11
707,62782116,uuid:698c4503-c95e-4cf5-8fcd-28c907d7f195,2020-12-07 13:29:16,2020-12-03 03:54:23
708,10709121,,,
709,62229124,uuid:09ab64a2-f4a7-43b8-9115-effffaa7ddf6,2020-12-06 02:22:51,2020-12-04 04:19:38
710,62789109,,,
711,62792105,,,
712,7114155123,08:54:20,3031,3031
713,7114146122,,,
714,62675117,,,
715,7114158112,,,
716,11618223,,,
717,719113121,,,
718,62786119,,,
719,62551114,,,
720,62228125,,,1.0
721,62788124,2011212223,uuid:86c2bca3-1789-4f2f-a5c4-b6d3c133b3be,2020-11-25 14:03:50
722,7110115114,,,
723,7114156103,,,
724,719109118,,,
725,7112134124,2020-12-17 03:49:20,2020-12-17 02:31:00,
726,62560125,2020-12-02 03:09:00,,
727,62235101,,,
728,62231116,,,
729,62553116,2020-11-26 02:22:35,2020-11-26 04:27:01,2020-11-26 03:24:00
730,62783103,,,
731,7110116119,18:45:46,5311,5311
732,62226117,uuid:a71e038e-5dff-42da-9271-1b34e2a65803,2020-12-21 03:42:33,2020-12-15 00:31:31
733,62784111,,,
734,62231117,,,
735,62782117,,,
736,62226125,,,
737,62792123,,,
738,62675116,,,
739,62792102,,,
740,62788109,2020-11-25 06:42:00,,
741,7110117118,2020-12-03 10:26:26,2020-12-03 09:15:00,
742,62229101,,1.0,0.0
743,62225125,2020-12-21 02:56:20,2020-12-08 04:46:33,2020-12-08 06:00:44
744,7110117126,,,
745,62785103,,,
746,62785108,,,
747,10709105,64.13333333333334,2011212223,uuid:25dd487f-1a7e-4dca-916b-1c5d34d9c56e
748,62782108,2011212223,uuid:481f3653-366c-434c-9abf-b2686ca1febe,2020-12-07 13:26:21
749,62237123,,,
750,62550103,,,1.0
751,62790102,,,
752,62556103,09:16:34,7048,7111
753,7114157123,,,
754,7110116101,,,
755,62553117,,,
756,7110119126,,,
757,7114153121,,,
758,62786117,,,
759,719111120,,,
760,62557121,2020-11-27 23:43:05,2020-11-27 03:35:54,2020-11-27 05:10:37
